episode_rewards,success_rates,actor_losses,critic_losses,q1_values,q2_values,
-50,,0,0.231871545,-1.117903352,-1.118761301,
-50,,1.107734323,0.187909573,-1.125829935,-1.128573895,
-50,,0,0.176214188,-1.123102307,-1.124103546,
-50,,1.116315365,0.194206297,-1.132466912,-1.132483959,
-4,,0,0.182287216,-1.136526704,-1.135010958,
-50,,1.119891644,0.218766689,-1.147597671,-1.145465374,
-50,,0,0.267104626,-1.136549711,-1.132191896,
-50,,1.089188337,0.16243878,-1.130828619,-1.122451305,
-50,,0,0.163164929,-1.124493241,-1.119124889,
-50,,1.100849986,0.214657977,-1.12953639,-1.129130602,
-50,,0,0.248168617,-1.130997896,-1.13155508,
-50,,1.099746823,0.164536893,-1.12998724,-1.131263614,
-50,,0,0.208783597,-1.139350057,-1.139812708,
-50,,1.117540359,0.197627246,-1.150906801,-1.15115571,
-50,,0,0.216588855,-1.149772406,-1.145097733,
-50,,1.101563931,0.188976735,-1.143937588,-1.134258866,
-50,,0,0.195437878,-1.142080665,-1.131336093,
-50,,1.116968989,0.165217072,-1.14348197,-1.135340571,
-1,,0,0.162577569,-1.157701969,-1.155088425,
-50,,1.130426288,0.210621327,-1.169121146,-1.169691086,
-50,,0,0.202082872,-1.165532947,-1.166854739,
-50,,1.110086679,0.167563736,-1.158937931,-1.158570051,
-1,,0,0.14574337,-1.158577561,-1.161095142,
-50,,1.130588889,0.167818487,-1.165516376,-1.162252307,
-50,,0,0.15415585,-1.174625874,-1.164975882,
-50,,1.146717072,0.167530999,-1.181325674,-1.17678237,
-2,,0,0.163967818,-1.184121132,-1.17756021,
-50,,1.132229686,0.159702718,-1.18543756,-1.183156252,
-50,,0,0.172454506,-1.176637173,-1.17942369,
-50,,1.128238201,0.140737802,-1.177463531,-1.17912066,
-50,,0,0.183297545,-1.18271935,-1.182613611,
-50,,1.118508101,0.173178554,-1.168611646,-1.17148602,
-50,,0,0.170545623,-1.167531729,-1.165377736,
-50,,1.128311157,0.166862577,-1.175790668,-1.16964221,
-50,,0,0.156995416,-1.17621541,-1.16983068,
-50,,1.159795165,0.104750931,-1.190791368,-1.190605879,
-50,,0,0.185198277,-1.194355011,-1.19439137,
-50,,1.171047688,0.113149285,-1.215875626,-1.218125343,
-50,,0,0.172913864,-1.199663401,-1.196169615,
-50,,1.144543409,0.142306671,-1.203493595,-1.194605947,
-50,,0,0.152810901,-1.199477315,-1.191815853,
-50,,1.124461651,0.162036121,-1.17763412,-1.172204137,
-1,,0,0.124661073,-1.182715058,-1.182979345,
-50,,1.15938592,0.132691979,-1.198544621,-1.204904318,
-50,,0,0.136415109,-1.227600336,-1.229212999,
-50,,1.138050318,0.131371737,-1.226598978,-1.229141116,
-50,,0,0.178151459,-1.185555696,-1.178795099,
-50,,1.083558202,0.167273253,-1.193163157,-1.182578802,
-50,,0,0.148863569,-1.166640162,-1.160910368,
-50,,1.107951164,0.136867061,-1.174049854,-1.173938155,
-50,,0,0.148423791,-1.193232536,-1.19421649,
-50,,1.132540822,0.178828329,-1.219426632,-1.222131491,
-50,,0,0.122620687,-1.225687265,-1.22298193,
-50,,1.093876481,0.142232671,-1.209975719,-1.202682376,
0,,0,0.117098659,-1.195209742,-1.185539126,
-50,,1.108431578,0.145874009,-1.195397615,-1.18626833,
-50,,0,0.123174042,-1.194861531,-1.196384907,
-50,,1.150547028,0.130540654,-1.220445752,-1.221572638,
-50,,0,0.163594365,-1.21565032,-1.22222209,
-50,,1.155253649,0.129369676,-1.226867914,-1.224245191,
-50,,0,0.124708913,-1.199886084,-1.192568183,
-50,,1.177378058,0.132104337,-1.190912008,-1.184027672,
-50,,0,0.115167566,-1.221688867,-1.216354489,
-50,,1.203341603,0.175889537,-1.201754093,-1.203083158,
-50,,0,0.13505204,-1.209487915,-1.217657208,
-50,,1.274049044,0.141694665,-1.224089622,-1.226972103,
-50,,0,0.15776825,-1.237167358,-1.236857653,
-50,,1.256712914,0.141070157,-1.203629732,-1.202926159,
